filepath,label,split,class_id
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_1.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_10.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_12.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_13.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_14.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_15.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_16.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_17.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_18.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_19.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_2.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_20.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_21.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_22.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_23.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_24.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_25.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_26.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_27.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_28.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_29.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_3.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_31.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_32.jpeg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_33.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_35.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_36.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_37.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_38.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_39.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_4.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_40.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_41.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_42.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_44.jpg,American Bollworm on Cotton,train,0
R:\Developments\ARIS\Disease\Train\American Bollworm on Cotton\Image_45.jpg,American Bollworm on Cotton,train,0
