filepath,label,split,class_id,predicted_class_id,predicted_label,confidence
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_1.jpg,American Bollworm on Cotton,val,0,0,American Bollworm on Cotton,0.36348316
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_10.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.40820363
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_12.jpg,American Bollworm on Cotton,val,0,35,bollrot on Cotton,0.19516318
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_13.jpg,American Bollworm on Cotton,val,0,35,bollrot on Cotton,0.15407641
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_14.jpg,American Bollworm on Cotton,val,0,42,pink bollworm in cotton,0.41455817
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_15.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.6148996
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_16.jpg,American Bollworm on Cotton,val,0,0,American Bollworm on Cotton,0.21182811
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_17.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.665268
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_18.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.52758163
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_19.jpg,American Bollworm on Cotton,val,0,40,maize fall armyworm,0.47564456
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_2.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.22723071
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_20.jpg,American Bollworm on Cotton,val,0,0,American Bollworm on Cotton,0.20669098
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_21.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.22200246
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_22.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.37556434
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_23.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.39814112
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_24.jpg,American Bollworm on Cotton,val,0,0,American Bollworm on Cotton,0.5521062
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_25.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.81740874
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_26.jpg,American Bollworm on Cotton,val,0,0,American Bollworm on Cotton,0.18337072
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_27.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.25312963
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_28.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.69347906
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_29.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.50141424
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_3.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.58669317
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_31.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.34750447
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_32.jpeg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.4735684
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_4.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.34595072
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_5.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.75754625
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_6.jpg,American Bollworm on Cotton,val,0,0,American Bollworm on Cotton,0.29960725
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_7.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.5165594
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_8.jpg,American Bollworm on Cotton,val,0,36,bollworm on Cotton,0.44137073
R:\Developments\ARIS\Disease\Validation\American Bollworm on Cotton\Image_9.jpg,American Bollworm on Cotton,val,0,1,Anthracnose on Cotton,0.23996091
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_10.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.68291044
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_11.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.7689468
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_12.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.6297015
