image_path,label,Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,class_id,predicted_class_id,predicted_label,confidence
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-271.JPG,Nitrogen(N),0.2592920135148396,1.8942820000869192,-1.614153839514063,-0.8799712530033661,-0.5553829856871098,-0.7182885593846295,0,0,Nitrogen(N),0.9242735
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-109.JPG,Potassium(K),-0.4128857487716597,0.314212350825847,0.3079812619670216,1.398189554455638,-0.77937289723666,-1.397878260773504,2,2,Potassium(K),0.6987749
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-269.JPG,Nitrogen(N),0.0181119526279898,-1.278086939683376,-0.1032810191429337,1.90444751166875,-0.77937289723666,-1.322368293952518,0,0,Nitrogen(N),0.8412618
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-332.JPG,Nitrogen(N),0.4848400334182823,0.2738545347069498,2.097527944634665,-0.7112186005989954,-0.5553829856871098,1.0184406774980492,0,0,Nitrogen(N),0.9119732
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-290.JPG,Nitrogen(N),1.5634508612733633,0.5111095749210733,-1.4466319450851048,-0.2893369695880687,0.1165867489615409,1.5470104452449511,0,0,Nitrogen(N),0.75534385
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-270.JPG,Nitrogen(N),-0.6763972967776626,-0.2336755770913054,-1.6808450202345966,1.3138132282534527,-0.5553829856871098,-1.397878260773504,0,0,Nitrogen(N),0.89511293
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-85.JPG,Nitrogen(N),0.7126212020336415,0.1026395572328391,-0.5081917592318861,-0.5424659481946248,-0.5553829856871098,1.6225204120659376,0,0,Nitrogen(N),0.49671483
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-105.JPG,Potassium(K),-0.5692061586057291,-0.9637851596059028,-1.1671641401609651,1.9888238378709355,-0.1074031625880093,-1.397878260773504,2,2,Potassium(K),0.57365924
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-284.JPG,Potassium(K),0.7885482582387602,-0.5443084647943334,-0.6511014322044573,0.63880261863597,-0.1074031625880093,0.1878310424672028,2,1,Phosphorus(P),0.5663329
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-146.JPG,Potassium(K),-1.4468336023884336,-0.1003724874864622,-1.8682154803541904,-0.2049606433858833,-0.1074031625880093,-0.5672686257426576,2,2,Potassium(K),0.89426565
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-404.JPG,Nitrogen(N),1.06769184722817,0.2530641445850934,-0.6574529732254608,-0.6268422743968101,-0.77937289723666,1.3204805447819934,0,0,Nitrogen(N),0.890968
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-146.JPG,Nitrogen(N),-0.522310035655508,-0.6372537382802785,-0.4430884637666035,1.8200711854665648,-0.77937289723666,-1.397878260773504,0,0,Nitrogen(N),0.81861067
Nutrient\rice_plant_lacks_nutrients\Phosphorus(P)\IMG_4593.JPG,Phosphorus(P),-1.4066369255739588,0.7471416510103812,0.1460169659314408,-0.9643475792055516,-0.77937289723666,-0.5672686257426576,1,1,Phosphorus(P),0.85350513
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-169.JPG,Potassium(K),0.5987306177259627,1.9627679910765636,-0.9940846473386288,-0.7112186005989954,-0.77937289723666,1.3959905116029794,2,2,Potassium(K),0.8989404
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-326.JPG,Nitrogen(N),-1.8800644524999968,-0.7595501507617857,-0.7948050478046541,-0.0362079909815127,-0.77937289723666,1.7735403457079095,0,0,Nitrogen(N),0.81726533
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-243.JPG,Nitrogen(N),-1.404403776862043,-0.7889012897573476,1.216251627970475,-0.9643475792055516,-0.5553829856871098,-0.8693084930266016,0,0,Nitrogen(N),0.85202664
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-194.JPG,Nitrogen(N),-0.26103163636142,1.0981323548323072,-1.02663629507127,-1.0487239054077369,0.1165867489615409,-0.3407387252796994,0,0,Nitrogen(N),0.9052765
Nutrient\rice_plant_lacks_nutrients\Nitrogen(N)\untitled-284.JPG,Nitrogen(N),-0.1270427136465037,-1.5936116838856642,1.604489572879294,-1.133100231609922,-0.1074031625880093,-0.3407387252796994,0,0,Nitrogen(N),0.7829518
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-6.JPG,Potassium(K),-0.2029697698516232,0.7789387182555736,0.6128552309751736,0.63880261863597,-0.77937289723666,-0.3407387252796994,2,2,Potassium(K),0.76589584
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-310.JPG,Potassium(K),-0.8103862194925788,-0.2801482138342775,-0.7487563754023813,1.145060575849082,-0.77937289723666,-1.171348360310546,2,2,Potassium(K),0.92900294
Nutrient\rice_plant_lacks_nutrients\Potassium(K)\untitled-121.JPG,Potassium(K),-0.7567906504066125,-0.8659480296206966,0.8931169785269386,-0.7955949268011807,-0.1074031625880093,-0.8693084930266016,2,2,Potassium(K),0.7042587
