image_path,mask_path
Weed\dataset\images\train\agri_0_1068.jpeg,Final\weed\data\agri_0_1068_mask.png
Weed\dataset\images\train\agri_0_2136.jpeg,Final\weed\data\agri_0_2136_mask.png
Weed\dataset\images\val\agri_0_3564.jpeg,Final\weed\data\agri_0_3564_mask.png
Weed\dataset\images\train\agri_0_8007.jpeg,Final\weed\data\agri_0_8007_mask.png
Weed\dataset\images\train\agri_0_6675.jpeg,Final\weed\data\agri_0_6675_mask.png
Weed\dataset\images\train\agri_0_357.jpeg,Final\weed\data\agri_0_357_mask.png
Weed\dataset\images\train\agri_0_6653.jpeg,Final\weed\data\agri_0_6653_mask.png
Weed\dataset\images\train\agri_0_4467.jpeg,Final\weed\data\agri_0_4467_mask.png
Weed\dataset\images\train\agri_0_4811.jpeg,Final\weed\data\agri_0_4811_mask.png
Weed\dataset\images\train\agri_0_3603.jpeg,Final\weed\data\agri_0_3603_mask.png
Weed\dataset\images\train\agri_0_4793.jpeg,Final\weed\data\agri_0_4793_mask.png
Weed\dataset\images\train\agri_0_1990.jpeg,Final\weed\data\agri_0_1990_mask.png
Weed\dataset\images\train\agri_0_3328.jpeg,Final\weed\data\agri_0_3328_mask.png
Weed\dataset\images\train\agri_0_3741.jpeg,Final\weed\data\agri_0_3741_mask.png
Weed\dataset\images\train\agri_0_4916.jpeg,Final\weed\data\agri_0_4916_mask.png
Weed\dataset\images\train\agri_0_6119.jpeg,Final\weed\data\agri_0_6119_mask.png
Weed\dataset\images\train\agri_0_6395.jpeg,Final\weed\data\agri_0_6395_mask.png
Weed\dataset\images\train\agri_0_223.jpeg,Final\weed\data\agri_0_223_mask.png
Weed\dataset\images\train\agri_0_3823.jpeg,Final\weed\data\agri_0_3823_mask.png
Weed\dataset\images\train\agri_0_8834.jpeg,Final\weed\data\agri_0_8834_mask.png
Weed\dataset\images\train\agri_0_9176.jpeg,Final\weed\data\agri_0_9176_mask.png
Weed\dataset\images\train\agri_0_5821.jpeg,Final\weed\data\agri_0_5821_mask.png
Weed\dataset\images\train\agri_0_8413.jpeg,Final\weed\data\agri_0_8413_mask.png
Weed\dataset\images\train\agri_0_6668.jpeg,Final\weed\data\agri_0_6668_mask.png
