image_path,pred_mask_path,miou
Weed\dataset\images\train\agri_0_4393.jpeg,Final\weed\results\pred_mask_000.png,1.0
Weed\dataset\images\train\agri_0_6055.jpeg,Final\weed\results\pred_mask_001.png,1.0
Weed\dataset\images\train\agri_0_3346.jpeg,Final\weed\results\pred_mask_002.png,1.0
Weed\dataset\images\train\agri_0_5688.jpeg,Final\weed\results\pred_mask_003.png,1.0
Weed\dataset\images\train\agri_0_6750.jpeg,Final\weed\results\pred_mask_004.png,1.0
Weed\dataset\images\train\agri_0_1873.jpeg,Final\weed\results\pred_mask_005.png,1.0
Weed\dataset\images\train\agri_0_7323.jpeg,Final\weed\results\pred_mask_006.png,1.0
Weed\dataset\images\train\agri_0_5512.jpeg,Final\weed\results\pred_mask_007.png,1.0
Weed\dataset\images\train\agri_0_8689.jpeg,Final\weed\results\pred_mask_008.png,1.0
Weed\dataset\images\train\agri_0_1806.jpeg,Final\weed\results\pred_mask_009.png,1.0
Weed\dataset\images\train\agri_0_6605.jpeg,Final\weed\results\pred_mask_010.png,1.0
Weed\dataset\images\train\agri_0_9584.jpeg,Final\weed\results\pred_mask_011.png,1.0
Weed\dataset\images\train\agri_0_5502.jpeg,Final\weed\results\pred_mask_012.png,1.0
Weed\dataset\images\train\agri_0_566.jpeg,Final\weed\results\pred_mask_013.png,1.0
Weed\dataset\images\train\agri_0_7092.jpeg,Final\weed\results\pred_mask_014.png,1.0
Weed\dataset\images\train\agri_0_2692.jpeg,Final\weed\results\pred_mask_015.png,1.0
Weed\dataset\images\train\agri_0_909.jpeg,Final\weed\results\pred_mask_016.png,1.0
Weed\dataset\images\train\agri_0_5949.jpeg,Final\weed\results\pred_mask_017.png,1.0
Weed\dataset\images\val\agri_0_484.jpeg,Final\weed\results\pred_mask_018.png,1.0
Weed\dataset\images\train\agri_0_2450.jpeg,Final\weed\results\pred_mask_019.png,1.0
Weed\dataset\images\train\agri_0_5627.jpeg,Final\weed\results\pred_mask_020.png,1.0
Weed\dataset\images\train\agri_0_8265.jpeg,Final\weed\results\pred_mask_021.png,1.0
Weed\dataset\images\train\agri_0_8358.jpeg,Final\weed\results\pred_mask_022.png,1.0
Weed\dataset\images\train\agri_0_8490.jpeg,Final\weed\results\pred_mask_023.png,1.0
Weed\dataset\images\train\agri_0_7266.jpeg,Final\weed\results\pred_mask_024.png,1.0
Weed\dataset\images\train\agri_0_1260.jpeg,Final\weed\results\pred_mask_025.png,1.0
Weed\dataset\images\val\agri_0_630.jpeg,Final\weed\results\pred_mask_026.png,1.0
Weed\dataset\images\train\agri_0_4356.jpeg,Final\weed\results\pred_mask_027.png,1.0
Weed\dataset\images\val\agri_0_6860.jpeg,Final\weed\results\pred_mask_028.png,1.0
Weed\dataset\images\train\agri_0_4519.jpeg,Final\weed\results\pred_mask_029.png,1.0
Weed\dataset\images\train\agri_0_9701.jpeg,Final\weed\results\pred_mask_030.png,1.0
Weed\dataset\images\train\agri_0_2525.jpeg,Final\weed\results\pred_mask_031.png,1.0
Weed\dataset\images\val\agri_0_8741.jpeg,Final\weed\results\pred_mask_032.png,1.0
Weed\dataset\images\train\agri_0_4913.jpeg,Final\weed\results\pred_mask_033.png,1.0
Weed\dataset\images\train\agri_0_4058.jpeg,Final\weed\results\pred_mask_034.png,1.0
Weed\dataset\images\val\agri_0_808.jpeg,Final\weed\results\pred_mask_035.png,1.0
Weed\dataset\images\train\agri_0_7963.jpeg,Final\weed\results\pred_mask_036.png,1.0
Weed\dataset\images\train\agri_0_7588.jpeg,Final\weed\results\pred_mask_037.png,1.0
Weed\dataset\images\train\agri_0_5605.jpeg,Final\weed\results\pred_mask_038.png,1.0
Weed\dataset\images\train\agri_0_8655.jpeg,Final\weed\results\pred_mask_039.png,1.0
Weed\dataset\images\train\agri_0_5718.jpeg,Final\weed\results\pred_mask_040.png,1.0
Weed\dataset\images\test\agri_0_1570.jpeg,Final\weed\results\pred_mask_041.png,1.0
Weed\dataset\images\train\agri_0_3247.jpeg,Final\weed\results\pred_mask_042.png,1.0
Weed\dataset\images\train\agri_0_8991.jpeg,Final\weed\results\pred_mask_043.png,1.0
Weed\dataset\images\train\agri_0_920.jpeg,Final\weed\results\pred_mask_044.png,1.0
Weed\dataset\images\train\agri_0_2694.jpeg,Final\weed\results\pred_mask_045.png,1.0
Weed\dataset\images\val\agri_0_1499.jpeg,Final\weed\results\pred_mask_046.png,1.0
Weed\dataset\images\train\agri_0_7072.jpeg,Final\weed\results\pred_mask_047.png,1.0
Weed\dataset\images\train\agri_0_544.jpeg,Final\weed\results\pred_mask_048.png,1.0
Weed\dataset\images\train\agri_0_4276.jpeg,Final\weed\results\pred_mask_049.png,1.0
Weed\dataset\images\train\agri_0_6904.jpeg,Final\weed\results\pred_mask_050.png,1.0
Weed\dataset\images\train\agri_0_9297.jpeg,Final\weed\results\pred_mask_051.png,1.0
Weed\dataset\images\train\agri_0_8409.jpeg,Final\weed\results\pred_mask_052.png,1.0
Weed\dataset\images\train\agri_0_3388.jpeg,Final\weed\results\pred_mask_053.png,1.0
Weed\dataset\images\train\agri_0_561.jpeg,Final\weed\results\pred_mask_054.png,1.0
